x,y
-17.8646,-4.6116
-18.3610,-4.5520
-18.8574,-4.4916
-19.3536,-4.4303
-19.8497,-4.3682
-20.3458,-4.3052
-20.8416,-4.2412
-21.3374,-4.1763
-21.8330,-4.1102
-22.3285,-4.0431
-22.8238,-3.9748
-23.3190,-3.9053
-23.8139,-3.8344
-24.3087,-3.7622
-24.8032,-3.6884
-25.2975,-3.6131
-25.7915,-3.5361
-26.2853,-3.4572
-26.7787,-3.3764
-27.2718,-3.2934
-27.7644,-3.2081
-28.2566,-3.1203
-28.7484,-3.0297
-29.2395,-2.9360
-29.7300,-2.8388
-30.2197,-2.7378
-30.7084,-2.6325
-31.1961,-2.5221
-31.6824,-2.4060
-32.1671,-2.2830
-32.6495,-2.1518
-33.1291,-2.0104
-33.6047,-1.8563
-34.0745,-1.6850
-34.5347,-1.4898
-34.9772,-1.2575
-35.3772,-0.9594
-35.6220,-0.5341
-35.4616,-0.0757
-35.0856,0.2513
-34.6540,0.5031
-34.2010,0.7145
-33.7371,0.9010
-33.2668,1.0706
-32.7922,1.2282
-32.3149,1.3770
-31.8356,1.5193
-31.3549,1.6571
-30.8734,1.7918
-30.3915,1.9251
-29.9097,2.0586
-29.4285,2.1944
-28.9486,2.3348
-28.4705,2.4811
-27.9947,2.6348
-27.5222,2.7984
-27.0547,2.9757
-26.5959,3.1742
-26.1568,3.4125
-25.8233,3.7697
-26.1447,4.1000
-26.6274,4.2278
-27.1219,4.3013
-27.6196,4.3485
-28.1187,4.3791
-28.6183,4.3983
-29.1182,4.4093
-29.6181,4.4148
-30.1181,4.4164
-30.6181,4.4155
-31.1181,4.4130
-31.6181,4.4096
-32.1181,4.4061
-32.6181,4.4029
-33.1181,4.4006
-33.6181,4.3997
-34.1181,4.4005
-34.6181,4.4035
-35.1180,4.4090
-35.6180,4.4174
-36.1178,4.4292
-36.6176,4.4448
-37.1172,4.4646
-37.6166,4.4890
-38.1157,4.5187
-38.6145,4.5540
-39.1127,4.5957
-39.6103,4.6443
-40.1071,4.7008
-40.6029,4.7657
-41.0974,4.8398
-41.5904,4.9230
-42.0817,5.0157
-42.5711,5.1182
-43.0582,5.2308
-43.5427,5.3544
-44.0241,5.4896
-44.5016,5.6377
-44.9744,5.8003
-45.4411,5.9797
-45.8994,6.1795
-46.3455,6.4050
-46.7720,6.6655
-47.1611,6.9787
-47.4550,7.3793
-47.4618,7.8644
-47.1361,8.2364
-46.7024,8.4835
-46.2375,8.6670
-45.7596,8.8138
-45.2749,8.9362
-44.7859,9.0407
-44.2942,9.1313
-43.8006,9.2107
-43.3055,9.2808
-42.8094,9.3428
-42.3124,9.3979
-41.8148,9.4467
-41.3167,9.4899
-40.8182,9.5281
-40.3193,9.5616
-39.8202,9.5908
-39.3208,9.6160
-38.8213,9.6374
-38.3216,9.6553
-37.8218,9.6697
-37.3219,9.6809
-36.8220,9.6890
-36.3220,9.6942
-35.8220,9.6965
-35.3220,9.6960
-34.8220,9.6928
-34.3221,9.6869
-33.8221,9.6785
-33.3222,9.6676
-32.8224,9.6543
-32.3227,9.6385
-31.8230,9.6203
-31.3234,9.5998
-30.8240,9.5770
-30.3246,9.5518
-29.8253,9.5244
-29.3262,9.4947
-28.8272,9.4627
-28.3284,9.4285
-27.8297,9.3921
-27.3312,9.3534
-26.8329,9.3125
-26.3348,9.2694
-25.8369,9.2240
-25.3391,9.1763
-24.8416,9.1264
-24.3444,9.0743
-23.8473,9.0198
-23.3506,8.9631
-22.8541,8.9040
-22.3579,8.8426
-21.8619,8.7788
-21.3663,8.7126
-20.8711,8.6440
-20.3761,8.5729
-19.8816,8.4994
-19.3874,8.4234
-18.8936,8.3448
-18.4002,8.2636
-17.9073,8.1798
-17.4149,8.0932
-16.9229,8.0040
-16.4314,7.9119
-15.9405,7.8171
-15.4502,7.7193
-14.9604,7.6185
-14.4713,7.5148
-13.9829,7.4079
-13.4952,7.2978
-13.0082,7.1845
-12.5220,7.0679
-12.0366,6.9478
-11.5521,6.8242
-11.0685,6.6970
-10.5860,6.5661
-10.1045,6.4314
-9.6241,6.2927
-9.1449,6.1499
-8.6670,6.0029
-8.1905,5.8516
-7.7154,5.6957
-7.2419,5.5353
-6.7700,5.3700
-6.2999,5.1996
-5.8317,5.0241
-5.3656,4.8432
-4.9017,4.6567
-4.4402,4.4643
-3.9813,4.2658
-3.5251,4.0610
-3.0721,3.8495
-2.6223,3.6311
-2.1761,3.4055
-1.7338,3.1723
-1.2959,2.9311
-0.8626,2.6816
-0.4344,2.4234
-0.0119,2.1560
0.4043,1.8790
0.8138,1.5922
1.2161,1.2952
1.6106,0.9881
1.9968,0.6705
2.3739,0.3423
2.7413,0.0031
3.0979,-0.3473
3.4428,-0.7093
3.7746,-1.0834
4.0918,-1.4698
4.3925,-1.8692
4.6744,-2.2821
4.9348,-2.7089
5.1700,-3.1500
5.3755,-3.6057
5.5458,-4.0757
5.6739,-4.5588
5.7513,-5.0525
5.7683,-5.5519
5.7156,-6.0486
5.5863,-6.5310
5.3793,-6.9855
5.1005,-7.4000
4.7616,-7.7670
4.3760,-8.0847
3.9560,-8.3555
3.5113,-8.5838
3.0493,-8.7747
2.5751,-8.9327
2.0922,-9.0625
1.6034,-9.1673
1.1104,-9.2505
0.6146,-9.3145
0.1168,-9.3616
-0.3822,-9.3934
-0.8818,-9.4117
-1.3818,-9.4176
-1.8817,-9.4124
-2.3815,-9.3969
-2.8809,-9.3720
-3.3797,-9.3386
-3.8780,-9.2972
-4.3756,-9.2484
-4.8725,-9.1926
-5.3686,-9.1305
-5.8640,-9.0623
-6.3585,-8.9885
-6.8522,-8.9094
-7.3450,-8.8252
-7.8371,-8.7362
-8.3282,-8.6428
-8.8186,-8.5451
-9.3081,-8.4433
-9.7969,-8.3377
-10.2847,-8.2284
-10.7718,-8.1155
-11.2581,-7.9993
-11.7437,-7.8798
-12.2284,-7.7572
-12.7124,-7.6317
-13.1956,-7.5033
-13.6781,-7.3722
-14.1599,-7.2383
-14.6409,-7.1020
-15.1213,-6.9631
-15.6009,-6.8219
-16.0799,-6.6784
-16.5582,-6.5327
-17.0358,-6.3848
-17.5127,-6.2348
-17.9891,-6.0828
-18.4648,-5.9288
-18.9399,-5.7729
-19.4143,-5.6152
-19.8882,-5.4556
-20.3615,-5.2943
-20.8341,-5.1313
-21.3062,-4.9667
-21.7778,-4.8004
-22.2488,-4.6325
-22.7192,-4.4632
-23.1891,-4.2923
-23.3832,-4.2212
